path,label
C:\Users\Fatih\Desktop\TUBITAK\Airport_Noise\Dataset_ESC50\audio\audio\1-101296-A-19.wav,WIND
C:\Users\Fatih\Desktop\TUBITAK\Airport_Noise\Dataset_ESC50\audio\audio\1-101296-B-19.wav,WIND
C:\Users\Fatih\Desktop\TUBITAK\Airport_Noise\Dataset_ESC50\audio\audio\1-104089-A-22.wav,SPEECH
C:\Users\Fatih\Desktop\TUBITAK\Airport_Noise\Dataset_ESC50\audio\audio\1-104089-B-22.wav,SPEECH
C:\Users\Fatih\Desktop\TUBITAK\Airport_Noise\Dataset_ESC50\audio\audio\1-105224-A-22.wav,SPEECH
C:\Users\Fatih\Desktop\TUBITAK\Airport_Noise\Dataset_ESC50\audio\audio\1-110537-A-22.wav,SPEECH
C:\Users\Fatih\Desktop\TUBITAK\Airport_Noise\Dataset_ESC50\audio\audio\1-115521-A-19.wav,WIND
C:\Users\Fatih\Desktop\TUBITAK\Airport_Noise\Dataset_ESC50\audio\audio\1-115920-A-22.wav,SPEECH
C:\Users\Fatih\Desktop\TUBITAK\Airport_Noise\Dataset_ESC50\audio\audio\1-115920-B-22.wav,SPEECH
C:\Users\Fatih\Desktop\TUBITAK\Airport_Noise\Dataset_ESC50\audio\audio\1-115921-A-22.wav,SPEECH
C:\Users\Fatih\Desktop\TUBITAK\Airport_Noise\Dataset_ESC50\audio\audio\1-11687-A-47.wav,AIRCRAFT
C:\Users\Fatih\Desktop\TUBITAK\Airport_Noise\Dataset_ESC50\audio\audio\1-119125-A-45.wav,TRAFFIC
C:\Users\Fatih\Desktop\TUBITAK\Airport_Noise\Dataset_ESC50\audio\audio\1-137296-A-16.wav,WIND
C:\Users\Fatih\Desktop\TUBITAK\Airport_Noise\Dataset_ESC50\audio\audio\1-155858-A-25.wav,SPEECH
C:\Users\Fatih\Desktop\TUBITAK\Airport_Noise\Dataset_ESC50\audio\audio\1-155858-B-25.wav,SPEECH
C:\Users\Fatih\Desktop\TUBITAK\Airport_Noise\Dataset_ESC50\audio\audio\1-155858-C-25.wav,SPEECH
C:\Users\Fatih\Desktop\TUBITAK\Airport_Noise\Dataset_ESC50\audio\audio\1-155858-D-25.wav,SPEECH
C:\Users\Fatih\Desktop\TUBITAK\Airport_Noise\Dataset_ESC50\audio\audio\1-155858-E-25.wav,SPEECH
C:\Users\Fatih\Desktop\TUBITAK\Airport_Noise\Dataset_ESC50\audio\audio\1-155858-F-25.wav,SPEECH
C:\Users\Fatih\Desktop\TUBITAK\Airport_Noise\Dataset_ESC50\audio\audio\1-17124-A-43.wav,TRAFFIC
C:\Users\Fatih\Desktop\TUBITAK\Airport_Noise\Dataset_ESC50\audio\audio\1-172649-A-40.wav,AIRCRAFT
C:\Users\Fatih\Desktop\TUBITAK\Airport_Noise\Dataset_ESC50\audio\audio\1-172649-B-40.wav,AIRCRAFT
C:\Users\Fatih\Desktop\TUBITAK\Airport_Noise\Dataset_ESC50\audio\audio\1-172649-C-40.wav,AIRCRAFT
C:\Users\Fatih\Desktop\TUBITAK\Airport_Noise\Dataset_ESC50\audio\audio\1-172649-D-40.wav,AIRCRAFT
C:\Users\Fatih\Desktop\TUBITAK\Airport_Noise\Dataset_ESC50\audio\audio\1-172649-E-40.wav,AIRCRAFT
C:\Users\Fatih\Desktop\TUBITAK\Airport_Noise\Dataset_ESC50\audio\audio\1-172649-F-40.wav,AIRCRAFT
C:\Users\Fatih\Desktop\TUBITAK\Airport_Noise\Dataset_ESC50\audio\audio\1-17367-A-10.wav,WIND
