path,label
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\gFd__LkHDT0.wav::0.00,HELICOPTER
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\gFd__LkHDT0.wav::5.00,HELICOPTER
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\gFd__LkHDT0.wav::10.00,HELICOPTER
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\gFd__LkHDT0.wav::15.00,HELICOPTER
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\gFd__LkHDT0.wav::20.00,HELICOPTER
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\gFd__LkHDT0.wav::25.00,HELICOPTER
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\gFd__LkHDT0.wav::30.00,HELICOPTER
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\gFd__LkHDT0.wav::35.00,HELICOPTER
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\gFd__LkHDT0.wav::40.00,HELICOPTER
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\gFd__LkHDT0.wav::45.00,HELICOPTER
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\gFd__LkHDT0.wav::50.00,HELICOPTER
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\gFd__LkHDT0.wav::55.00,HELICOPTER
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\gFd__LkHDT0.wav::60.00,HELICOPTER
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\gFd__LkHDT0.wav::65.00,HELICOPTER
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\gFd__LkHDT0.wav::70.00,HELICOPTER
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\gFd__LkHDT0.wav::75.00,HELICOPTER
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\gFd__LkHDT0.wav::80.00,HELICOPTER
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\gFd__LkHDT0.wav::85.00,HELICOPTER
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\gFd__LkHDT0.wav::90.00,HELICOPTER
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\gFd__LkHDT0.wav::95.00,HELICOPTER
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\gFd__LkHDT0.wav::100.00,HELICOPTER
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\gFd__LkHDT0.wav::105.00,HELICOPTER
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\gFd__LkHDT0.wav::110.00,HELICOPTER
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\gFd__LkHDT0.wav::115.00,HELICOPTER
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\gFd__LkHDT0.wav::120.00,HELICOPTER
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\gFd__LkHDT0.wav::125.00,HELICOPTER
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\gFd__LkHDT0.wav::130.00,HELICOPTER
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\gFd__LkHDT0.wav::135.00,HELICOPTER
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\gFd__LkHDT0.wav::140.00,HELICOPTER
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\gFd__LkHDT0.wav::145.00,HELICOPTER
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\gFd__LkHDT0.wav::150.00,HELICOPTER
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\gFd__LkHDT0.wav::155.00,HELICOPTER
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\gFd__LkHDT0.wav::160.00,HELICOPTER
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\gFd__LkHDT0.wav::165.00,HELICOPTER
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\gFd__LkHDT0.wav::170.00,HELICOPTER
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\gFd__LkHDT0.wav::175.00,HELICOPTER
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\gFd__LkHDT0.wav::180.00,HELICOPTER
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\gFd__LkHDT0.wav::185.00,HELICOPTER
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\gFd__LkHDT0.wav::190.00,HELICOPTER
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\gFd__LkHDT0.wav::195.00,HELICOPTER
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\2G8LAiHSCAs.wav::0.00,NATURE
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\2G8LAiHSCAs.wav::5.00,NATURE
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\2G8LAiHSCAs.wav::10.00,NATURE
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\2G8LAiHSCAs.wav::15.00,NATURE
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\2G8LAiHSCAs.wav::20.00,NATURE
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\2G8LAiHSCAs.wav::25.00,NATURE
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\2G8LAiHSCAs.wav::30.00,NATURE
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\2G8LAiHSCAs.wav::35.00,NATURE
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\2G8LAiHSCAs.wav::40.00,NATURE
C:\Users\Fatih\Desktop\TUBITAK\Airport_Audio_Collector\airport-audio-collector\data\raw\2G8LAiHSCAs.wav::45.00,NATURE
